Europe Temperature Anomalies
Units: Degrees Celsius
Base Period: 1910-2000
Missing: -999
Year,Value
191701,-0.82
191702,-2.59
191703,-2.10
191704,-1.24
191705,-0.40
191706,0.92
191707,-0.45
191708,0.31
191709,0.36
191710,-0.09
191711,0.57
191712,-1.61
191801,-0.13
191802,0.48
191803,-0.12
191804,0.59
191805,-0.16
191806,-1.27
191807,-0.39
191808,-0.64
191809,0.21
191810,0.50
191811,-0.14
191812,0.57
191901,0.80
191902,-0.38
191903,-0.48
191904,-0.64
191905,-1.32
191906,-0.39
191907,-1.04
191908,-0.82
191909,0.60
191910,-0.94
191911,-2.23
191912,-0.90
192001,0.55
192002,0.44
192003,1.57
192004,1.53
192005,1.13
192006,-0.43
192007,0.15
192008,-0.46
192009,-0.06
192010,-1.60
192011,-1.66
192012,-0.49
192101,1.77
192102,-0.42
192103,1.15
192104,0.51
192105,1.13
192106,-0.51
192107,-0.03
192108,0.03
192109,-0.56
192110,0.23
192111,-1.96
192112,-0.68
192201,-1.08
192202,-0.73
192203,0.30
192204,-0.77
192205,0.31
192206,0.12
192207,-0.34
192208,-0.51
192209,-1.06
192210,-1.31
192211,-1.07
192212,-0.37
192301,1.12
192302,-0.48
192303,0.49
192304,-1.06
192305,-0.10
192306,-2.05
192307,-0.02
192308,-0.81
192309,-0.10
192310,1.02
192311,0.67
192312,-0.44
192401,-1.37
192402,-1.60
192403,-1.09
192404,-0.93
192405,0.55
192406,0.13
192407,-0.38
192408,-0.60
192409,0.86
192410,0.51
192411,-0.33
192412,0.11
192501,1.64
192502,2.37
192503,-0.72
192504,0.13
192505,0.35
192506,-0.84
192507,0.13
192508,-0.26
192509,-0.83
192510,-0.55
192511,-0.75
192512,-1.09
192601,-0.10
192602,1.19
192603,-0.09
192604,0.56
192605,-0.54
192606,-0.55
192607,-0.21
192608,-0.82
192609,0.19
192610,-0.25
192611,1.97
192612,-0.52
192701,0.25
192702,-0.52
192703,1.33
192704,-0.21
192705,-0.76
192706,0.03
192707,0.61
192708,0.54
192709,0.35
192710,0.03
192711,-0.46
192712,-2.21
192801,0.36
192802,-0.17
192803,-1.18
192804,0.14
192805,-1.04
192806,-1.18
192807,0.29
192808,-0.23
192809,0.03
192810,-0.29
192811,1.21
192812,-0.61
192901,-2.17
192902,-5.26
192903,-1.60
192904,-2.46
192905,0.47
192906,-0.72
192907,-0.52
192908,0.33
192909,0.25
192910,0.79
192911,1.20
192912,1.68
193001,2.00
193002,0.05
193003,0.84
193004,0.61
193005,-0.11
193006,0.61
193007,-0.07
193008,0.12
193009,-0.14
193010,0.38
193011,1.06
193012,0.12
193101,0.18
193102,-0.78
193103,-1.39
193104,-1.28
193105,0.82
193106,0.13
193107,0.31
193108,-0.39
193109,-1.69
193110,-0.72
193111,-0.12
193112,-0.89
193201,1.00
193202,-2.15
193203,-2.00
193204,-0.63
193205,-0.11
193206,-0.73
193207,0.26
193208,0.70
193209,1.19
193210,0.80
193211,0.20
193212,1.14
193301,-1.00
193302,-0.26
193303,-0.06
193304,-1.09
193305,-0.85
193306,-0.89
193307,0.13
193308,-0.08
193309,-0.26
193310,0.32
193311,-0.37
193312,-2.64
193401,0.43
193402,0.12
193403,0.87
193404,1.03
193405,1.08
193406,0.10
193407,0.64
193408,0.11
193409,1.27
193410,0.88
193411,0.80
193412,1.30
193501,-1.10
193502,0.56
193503,-0.52
193504,-0.17
193505,-1.22
193506,0.79
193507,-0.19
193508,-0.10
193509,0.30
193510,0.90
193511,0.12
193512,0.75
193601,2.49
193602,-0.33
193603,1.14
193604,-0.03
193605,0.24
193606,0.25
193607,0.88
193608,-0.07
193609,-0.39
193610,-1.53
193611,0.33
193612,0.67
193701,-0.51
193702,0.64
193703,0.41
193704,0.48
193705,1.37
193706,0.83
193707,0.62
193708,0.89
193709,0.94
193710,0.69
193711,0.54
193712,-0.55
193801,0.49
193802,0.82
193803,1.60
193804,-0.91
193805,-0.81
193806,0.39
193807,0.76
193808,1.01
193809,0.53
